"step,running_spindles,stopped_spindles,utilization_percent,total_end_breaks,cumulative_downtime,defect_probability,quality_risk"
"1,20,0,100.0,0,0,0.0,LOW"
"2,19,1,95.0,1,1,0.0,LOW"
"3,19,1,95.0,1,2,0.0,LOW"
"4,19,1,95.0,1,3,0.0,LOW"
"5,19,1,95.0,1,4,0.0,LOW"
"6,19,1,95.0,1,5,0.0033333333333333335,LOW"
"7,19,1,95.0,2,6,0.006666666666666667,LOW"
"8,19,1,95.0,2,7,0.006666666666666667,LOW"
"9,17,3,85.0,4,10,0.07666666666666666,LOW"
"10,18,2,90.0,4,12,0.08666666666666667,LOW"
"11,18,2,90.0,4,14,0.03666666666666667,LOW"
"12,19,1,95.0,4,15,0.12,LOW"
"13,19,1,95.0,4,16,0.16666666666666666,LOW"
"14,20,0,100.0,4,16,0.11333333333333333,LOW"
"15,20,0,100.0,4,16,0.20666666666666667,LOW"
"16,20,0,100.0,4,16,0.06666666666666667,LOW"
"17,20,0,100.0,4,16,0.12333333333333334,LOW"
"18,20,0,100.0,4,16,0.08666666666666667,LOW"
"19,18,2,90.0,6,18,0.30666666666666664,MEDIUM"
"20,18,2,90.0,6,20,0.6066666666666667,HIGH"
"21,18,2,90.0,6,22,0.3,MEDIUM"
"22,19,1,95.0,6,23,0.59,MEDIUM"
"23,19,1,95.0,6,24,0.5666666666666667,MEDIUM"
"24,19,1,95.0,6,25,0.7333333333333333,HIGH"
"25,17,3,85.0,9,28,0.39,MEDIUM"
"26,17,3,85.0,9,31,0.61,HIGH"
"27,17,3,85.0,9,34,0.43333333333333335,MEDIUM"
"28,18,2,90.0,9,36,0.6766666666666666,HIGH"
"29,17,3,85.0,11,39,0.30333333333333334,MEDIUM"
"30,16,4,80.0,12,43,0.7166666666666667,HIGH"
