"spindle_id,total_end_breaks,average_speed_rpm,speed_std_rpm,stopped_time,downtime_percent,anomaly_prediction,anomaly_status,anomaly_score"
"1,0,16596.775,906.7756753575637,0,0.0,1,Normal,0.03682801454953433"
"2,1,15925.441666666668,3066.594935880888,4,3.3333333333333335,1,Normal,0.1233380295612505"
"3,4,14302.525,5691.366061538176,16,13.333333333333334,1,Normal,0.0392404863371284"
"4,0,16549.675,861.2934884923533,0,0.0,1,Normal,0.04996864471363316"
"5,5,11804.616666666667,7485.084087797582,34,28.333333333333332,-1,Anomaly,-0.0489703333677618"
"6,3,14808.175,5017.612515497013,12,10.0,1,Normal,0.062272461454715045"
"7,1,15915.416666666666,3456.3456428837153,5,4.166666666666666,1,Normal,0.12876362444600453"
"8,3,14549.125,5359.102443604751,14,11.666666666666666,1,Normal,0.06620599593357968"
"9,1,15806.116666666667,3747.993628379769,6,5.0,1,Normal,0.09660972814593882"
"10,2,15370.308333333332,4199.1409461512785,8,6.666666666666667,1,Normal,0.0856195466404831"
"11,2,15447.333333333334,4497.355955874244,9,7.5,1,Normal,0.07905103198240265"
"12,6,12723.2,6929.483434250075,27,22.5,-1,Anomaly,-0.032786127692650324"
"13,1,15785.6,3403.843105825478,5,4.166666666666666,1,Normal,0.12286066183746086"
"14,0,16586.925,841.12569792266,0,0.0,1,Normal,0.02422203609311835"
"15,3,13821.55,6258.006308359091,20,16.666666666666664,1,Normal,0.005785787239879436"
"16,0,16523.866666666665,936.5883909197265,0,0.0,1,Normal,0.04133094595823472"
"17,8,10998.383333333333,7843.84911748506,40,33.33333333333333,-1,Anomaly,-0.13309986266052942"
"18,1,16029.983333333334,3091.2533641007876,4,3.3333333333333335,1,Normal,0.10253888486993568"
"19,2,15887.191666666668,3099.337178518733,4,3.3333333333333335,1,Normal,0.06772233812903083"
"20,0,16518.366666666665,890.8363357153838,0,0.0,1,Normal,0.055367674428614344"
