"spindle_id,current_status,current_speed_rpm,total_end_breaks,cumulative_downtime,health_score,maintenance_condition,maintenance_priority"
"12,Stopped,0,3,12,52,Maintenance Required,HIGH"
"17,Stopped,0,2,9,66,Watch,MEDIUM"
"4,Running,16559,2,6,72,Watch,MEDIUM"
"15,Running,15075,1,5,82,Healthy,LOW"
"11,Running,17918,1,4,84,Healthy,LOW"
"7,Running,16292,1,3,86,Healthy,LOW"
"3,Stopped,0,1,2,88,Healthy,LOW"
"5,Stopped,0,1,2,88,Healthy,LOW"
"1,Running,15441,0,0,100,Healthy,LOW"
"2,Running,17659,0,0,100,Healthy,LOW"
"6,Running,17906,0,0,100,Healthy,LOW"
"8,Running,17445,0,0,100,Healthy,LOW"
"9,Running,15763,0,0,100,Healthy,LOW"
"10,Running,16875,0,0,100,Healthy,LOW"
"13,Running,16248,0,0,100,Healthy,LOW"
"14,Running,16611,0,0,100,Healthy,LOW"
"16,Running,16441,0,0,100,Healthy,LOW"
"18,Running,16238,0,0,100,Healthy,LOW"
"19,Running,17053,0,0,100,Healthy,LOW"
"20,Running,15253,0,0,100,Healthy,LOW"
